account_id,champion_left,rfp_active,expansion_likely,ae_note
A01,0,0,0,
A02,0,0,0,
A03,0,0,0,
A04,0,1,0,procurement RFP'd 3 competitors last week — Sarah confirmed
A05,0,0,0,
A06,0,0,0,
A07,0,0,0,
A08,0,0,0,
A09,0,0,0,
A10,1,0,0,Mike Chen left Apr 22 — no successor named yet
A11,0,0,0,
A12,0,0,0,
A13,1,0,0,Jennifer Park left Apr 8 — interim contact is admin assistant
A14,0,0,0,
A15,0,0,0,
A16,0,0,0,
A17,1,0,0,David Okafor left May 1 — replacement starts June
A18,0,0,0,
A19,0,0,1,expansion call booked — adding 2 product lines
A20,0,0,0,
A21,0,0,0,
A22,0,0,0,
A23,0,0,0,
A24,0,0,0,
A25,0,0,0,
A26,0,0,0,
A27,0,0,0,
A28,0,0,0,
A29,0,0,0,
A30,0,0,0,
