account_id,ticket_id,created_date,is_march_bug
A01,T001,2026-04-10,0
A01,T002,2026-04-22,0
A01,T003,2026-05-01,0
A03,T004,2026-03-15,1
A03,T005,2026-03-18,1
A03,T006,2026-04-30,0
A06,T007,2026-03-20,1
A06,T008,2026-03-22,1
A06,T009,2026-04-05,0
A06,T010,2026-04-12,0
A06,T011,2026-04-28,0
A06,T012,2026-05-02,0
A10,T013,2026-04-01,0
A10,T014,2026-04-15,0
A10,T015,2026-04-29,0
A10,T016,2026-05-08,0
A17,T017,2026-03-10,1
A17,T018,2026-04-02,0
A17,T019,2026-04-20,0
A17,T020,2026-05-05,0
A19,T021,2026-04-18,0
A19,T022,2026-05-01,0
A19,T023,2026-05-09,0
A26,T024,2026-04-14,0
A26,T025,2026-04-25,0
A26,T026,2026-05-03,0
A29,T027,2026-04-20,0
A29,T028,2026-05-06,0
A08,T029,2026-03-28,1
A08,T030,2026-04-15,0
A28,T031,2026-04-10,0
A28,T032,2026-05-02,0
